TelepulesID;TeruletNeve;TipusID;TeruletHa;FolyoM;UtolsoM;UtolsoSz;SzamlalDb
249;Tisza, 557-554 fkm;4;39,06;3000;2013.1.18 21:01:00;2013.1.12;3
249;Kerek-tó;6;6,12;;2013.1.18 21:03:00;2013.1.12;1
250;Várszögi morotva;6;10,76;;2012.12.12 16:14:00;;0
250;Rétközi tó;19;446,34;;2014.1.18 19:22:00;2014.1.18;13
251;Szajoli-Holt-Tisza;6;77,68;;2012.1.17 21:00:00;;0
252;Dzsidva-halastavak;5;241,33;;2014.3.10 21:14:00;2014.3.10;202
253;Rakaca-víztározó;19;170,58;;2014.3.3 14:07:00;2014.3.3;8
254;Szamossályi Holt-Szamos;6;55,60;;2012.12.16 22:29:00;;0
255;Szamosszegi Holt-Szamos;6;10,87;;2012.12.16 18:54:00;;0
256;Belső-Hobogy;6;8,04;;2013.7.1 22:35:00;;0
256;Külső-Hobogy;6;3,11;;2013.7.1 22:34:00;;0
256;Kisinci-tó;6;12,93;;2013.7.1 22:36:00;;0
257;Horvátpusztai-halastó;5;355,70;;2012.2.17 15:34:00;;0
257;Iskolaföldi halastavak;5;235,57;;2014.1.26 8:31:00;;0
258;Székalj;14;50,69;;2014.3.16 19:59:00;2014.3.16;7
258;Makra-szék;15;17,09;;2013.7.6 17:52:00;2013.4.26;2
259;Káprás-alja;13;94,00;;2014.1.15 20:33:00;2010.12.16;83
259;Szécsényi-rét;13;297,24;;2014.2.7 14:31:00;2013.12.27;158
259;Pöstényi-rét;13;215,10;;2014.1.13 21:14:00;2010.10.11;14
259;Vízmű alatti szántó;2;31,15;;2013.10.21 16:07:00;2013.4.5;1
259;Benczúri elág.;2;226,28;;2013.10.21 16:23:00;2013.4.5;1
259;Malomréti-tó (Szécsényi-horgásztó);7;22,67;;2014.1.15 19:49:00;2013.12.27;55
260;Fehér-tó;5;1555,54;;2014.3.16 19:54:00;2014.3.14;542
260;Lencsés-tó;17;7,94;;2010.11.13 10:02:00;;0
260;Hosszúháti-szikkasztó;18;24,70;;2014.3.16 19:56:00;2014.3.16;42
260;Szőregi Téglagyári-tavak;1;5,94;;2014.3.22 7:55:00;2014.3.22;49
261;Őzei-víztároló;19;48,59;;2013.3.26 16:12:00;1986.11.15;4
262;Vörösmarty-halastavak;5;316,56;;2014.3.5 7:49:00;2014.3.4;96
262;Sóstó;17;22,53;;2013.6.10 11:58:00;2013.6.10;128
262;Gaja patak;12;75,49;;2013.2.3 23:11:00;2012.12.11;15
262;Aszalvölgyi árok;3;142,99;;2011.5.31 16:28:00;2011.5.28;3
262;Palotavárosi-tavak;17;13,04;;2013.6.28 15:30:00;1990.12.15;4
263;Baláta-tó;11;76,56;;2012.10.22 19:26:00;2002.3.15;1
264;Szentendre Kis Duna ág;4;51,67;3500;2013.1.18 16:15:00;2013.1.18;2
265;Termál-tó;17;133,19;;2014.2.5 16:06:00;2014.2.5;3
266;Hársas-tó;19;13,78;;2013.12.16 8:52:00;2013.11.30;3
267;Szerencsi Cukorgyári ülepítők;18;65,62;;2011.9.5 21:43:00;2008.11.27;17
268;Alcsi-Holt-Tisza;6;142,33;;2012.1.17 20:27:00;;0
268;Cukorgyári ülepítő tavak;18;33,74;;2014.3.8 10:14:00;2014.3.8;9
269;Klapka horgásztó;7;17,42;;2013.12.3 13:26:00;2013.5.5;1
270;Szőkei-halastó;5;27,33;;2013.7.2 11:32:00;1992.9.13;1
271;Táci-halastavak;5;132,73;;2014.2.19 9:59:00;2014.2.14;93
271;Táci rét;13;125,84;;2013.2.7 11:19:00;2012.11.6;4
272;Taktabáji Holt-Tisza;6;5,40;;2012.12.12 19:40:00;;0
273;Tápiószecsői-halastavak;5;127,20;;2011.11.21 22:27:00;2007.1.14;4
274;Tápszentmiklósi kis bányató;1;2,44;;2013.5.24 21:06:00;2013.5.24;1
275;Kengyel-laposi-tó;6;63,75;;2010.9.17 21:51:00;2008.3.14;3
275;Hódos-tó;6;51,11;;2013.10.3 16:11:00;;0
275;Tormás-tó;6;44,93;;2010.9.17 22:06:00;2008.3.14;3
276;Helmecszegi Holt-Tisza;6;8,39;;2011.2.24 20:34:00;;0
277;Nagybereki Fehérvíz;11;753,97;;2011.11.26 20:37:00;2008.4.15;5
278;Városi-tó;5;14,34;;2014.1.14 16:44:00;2013.12.14;22
278;Réti-halastavak;5;73,93;;2014.1.14 16:26:00;2013.12.14;82
278;Derítő-tó;7;30,71;;2014.1.14 16:50:00;2013.12.14;74
278;Asszony-tó;17;53,87;;2014.1.14 16:31:00;2013.12.14;72
278;Tatai Öreg-tó;17;210,54;;2014.1.14 16:18:00;2013.12.15;248
279;Bánhidai-hűtőtó;19;37,94;;2014.1.14 16:48:00;2013.12.14;9
280;Sziget;11;92,24;;2013.12.16 15:37:00;2010.10.7;3
281;Belső-tó;7;36,28;;2012.1.13 10:28:00;;0
281;Külső-tó;11;73,15;;2012.2.16 11:57:00;1990.2.18;13
282;Tisza, 550-547.5 fkm;4;45,89;2500;2012.2.14 11:08:00;2011.11.18;1
282;Timári-morotva;6;32,63;;2013.1.18 20:48:00;2013.1.12;6
282;Kántor-tó;6;10,44;;2012.12.12 17:11:00;;0
283;Tiszaadonyi Holt-Tisza;6;17,31;;2012.12.14 21:36:00;;0
284;Nagy-tó;6;169,89;;2013.10.28 11:17:00;2013.10.20;101
285;Nagy-szék-lápa;15;29,34;;2013.12.16 13:19:00;2009.7.8;1
286;Oláh-zug;6;6,34;;2010.8.24 18:17:00;;0
286;Téglagyári kubikgödrök;10;27,41;;2010.8.31 12:52:00;;0
286;Tisza, 571.5-568 fkm;4;51,58;3500;2013.1.18 21:11:00;2013.1.12;3
286;Sertéstelep, ülepítő tó;18;5,43;;2010.8.31 12:37:00;;0
287;Kerek Holt-Tisza;6;8,44;;2012.1.17 21:08:00;;0
288;Tiszacsermelyi Holt-Tisza;6;17,51;;2012.12.12 16:42:00;;0
289;Tiszadadai Holt-Tisza;6;22,26;;2012.12.12 19:30:00;;0
290;Tisza, Tiszadob - Tiszaújváros között;4;150,78;;2011.9.4 18:19:00;2008.12.15;5
290;Tiszadobi Holt-Tisza;6;100,27;;2013.4.5 11:45:00;1992.1.30;1
291;Barna-szik;16;76,31;;2013.6.4 13:41:00;;0
291;Alsó-szik;16;48,62;;2013.6.4 13:34:00;;0
291;Felső-szik és Megyágó;16;65,07;;2013.6.4 13:32:00;;0
291;Gellért-szik;16;47,54;;2013.6.4 13:46:00;;0
291;Bashalmi vízállás;2;66,10;;2013.7.25 11:20:00;2013.7.18;4
291;MÁV-Újtelepi mocsár;11;11,64;;2013.7.25 11:24:00;2013.7.18;2
291;Bashalmi Bodzás;16;25,98;;2013.6.4 13:43:00;;0
292;Meggyes-lapos;11;107,59;;2013.10.21 12:35:00;2012.12.15;30
292;Fekete-rét;11;652,69;;2013.4.27 11:38:00;1985.10.27;13
292;Tisza-tó;19;5029,78;;2013.12.4 15:42:00;2007.11.16;25
293;Tiszakarádi Holt-Tisza;6;17,27;;2012.12.12 16:49:00;;0
294;Meseszegi Holt-Tisza;6;8,16;;2012.12.14 21:16:00;;0
295;Tiszakóródi Holt-Tisza;6;15,33;;2012.12.14 22:34:00;;0
296;Tiszaladányi Holt-Tisza;6;51,38;;2012.12.12 20:08:00;;0
297;Gyomán-lapos;16;23,26;;2013.6.4 14:07:00;;0
297;Balogh Istók laposa;16;30,09;;2013.6.4 14:02:00;;0
297;Tiszalöki Holt-Tisza;6;22,18;;2012.12.12 19:56:00;;0
297;Tiszalök-Csobaji Holt-Tisza;6;36,93;;2012.12.12 19:45:00;;0
297;Ita-szék;16;139,81;;2013.6.4 13:59:00;;0
297;Körtvélyes-szik;16;142,16;;2013.6.4 14:13:00;;0
298;Tiszalúci Holt-Tisza;6;115,30;;2012.12.12 19:05:00;;0
298;Bátka-tó;6;51,54;;2011.9.4 19:00:00;2008.11.11;1
