ertek	tipus	datum	helyaz
-7,4	min	2006.10.19	61
23	max	1926.11.10	97
-25,4	min	1987.02.02	7
2,4	min	2002.06.30	61
39,5	max	2013.08.09	86
17,4	max	1998.01.10	26
-3,4	min	1914.05.04	43
16,4	max	1998.01.09	83
4,1	min	2006.06.11	125
-6,6	min	1981.04.18	71
35,2	max	1927.06.02	44
-19,5	min	1987.03.08	89
39,8	max	1921.08.12	143
-27,1	min	1929.02.03	22
-15,2	min	1932.02.29	35
3,5	min	1919.08.08	63
33,2	max	1918.09.27	143
36,7	max	2008.09.06	5
-5,8	min	1988.04.25	20
25,7	max	1918.04.02	143
39,6	max	1957.08.14	76
-0,9	min	1977.06.02	119
-25,7	min	1940.01.10	79
33,7	max	1917.09.21	143
-11,3	min	1979.10.26	119
-18,4	min	1925.12.08	43
-3	min	1907.09.24	68
35	max	1947.09.17	68
27,7	max	1983.04.12	141
-8	min	1992.10.14	46
-1,2	min	1944.05.10	52
38,3	max	1962.06.25	51
39,8	max	1946.08.13	68
27,6	max	1952.04.16	51
-19,5	min	1962.03.19	31
-27	min	1902.12.16	133
3,7	min	1949.06.25	110
18,6	max	2001.02.09	86
-10	min	1929.04.05	63
-2,3	min	1957.05.07	59
18,5	max	2009.12.23	99
20	max	1989.12.16	95
5,5	min	1996.07.21	22
29,1	max	1986.04.09	94
38,2	max	1946.09.09	92
3,2	min	1919.07.14	63
3,2	min	1937.07.11	63
-17,1	min	1976.03.11	106
0	min	1918.06.06	133
21,1	max	1966.02.22	30
-16,5	min	1962.03.20	31
-1	min	1952.05.19	101
20,5	max	1989.02.20	118
40	max	1905.07.06	39
3,6	min	1996.07.19	62
3,8	min	1999.06.23	17
-1,5	min	2007.09.21	61
34,9	max	2011.09.11	1
23	max	1927.11.10	47
36,2	max	1991.06.17	98
-6,3	min	1959.04.21	59
3,3	min	2013.08.16	61
-27	min	1940.02.17	136
-27,6	min	1954.01.28	43
38,8	max	1992.08.29	120
-24,5	min	1986.02.27	7
30,6	max	2012.04.29	129
-8,2	min	1913.04.12	63
3	min	1921.06.22	63
36,8	max	1946.08.17	72
22,8	max	1918.03.03	143
-0,4	min	1962.06.07	59
28,4	max	1977.03.24	28
-12,1	min	1931.03.31	76
27,3	max	2013.10.23	86
