Dátum	Távolság (km)	Mennyiség (liter)	Ár (Ft)	Benzinkút azonosítója	Benzinár (Ft/l)	Fogyasztás (l/100km)
1999.07.06	384,4	26,60	5 024	N3				Megtett távolság
2012.07.31	571,0	35,82	15 363	E1
2012.08.02	410,0	26,66	11 061	E2
2012.08.12	575,0	35,40	15 183	E3
2012.08.21	626,0	38,98	16 680	D1
2012.09.02	377,5	26,23	11 355	NA
2012.09.24	618,0	42,24	18 793	O3
2012.10.10	618,0	40,23	17 576	O3
2012.11.04	542,0	43,20	17 884	E4
2012.11.11	477,0	29,99	11 756	E5
2012.11.26	680,0	46,92	18 951	D1
2012.12.25	601,0	45,99	18 391	P2
2012.12.29	357,0	19,75	8 000	NA
2013.01.04	532,0	44,80	18 408	D1
2013.01.24	355,6	27,49	11 378	D1
2013.02.08	601,0	41,50	17 000	V1
2013.03.03	666,8	44,50	18 600	V1
2013.05.05	508,0	35,27	14 000	V2
2013.05.18	499,0	35,53	14 000	V1
2013.06.02	645,0	47,55	19 253	NA
2013.06.15	497,1	31,02	12 622	NA
2013.07.15	635,0	41,34	17 069	D1
2013.08.11	480,0	31,56	13 000	V2
2013.08.15	402,9	28,91	11 969	NA
2013.08.28	606,8	42,85	17 779	D1
2013.09.20	648,0	44,47	18 406	E1
2013.09.29	520,4	33,46	13 738	E6
2013.09.29	596,0	39,15	15 578	NA
2013.10.06	537,0	33,18	13 335	E7
2013.10.27	388,0	29,00	11 771	E1
2013.11.01	404,0	30,22	12 327	S7
2013.11.24	583,0	37,41	15 260	E8
