id	datum	ido	varos	stadion	nezoszam	ellenfel	lott	kapott	tetmeccs
168	1933.04.30	17:00:00	Budapest	Üllői út	40000	Ausztria	1	1	
169	1933.07.02		Stockholm		20000	Svédország	2	5	
170	1933.09.17	16:00:00	Budapest	Hungária út	17000	Svájc	3	0	
171	1933.10.01		Bécs		60000	Ausztria	2	2	
172	1933.10.22	15:00:00	Budapest	Üllői út	38000	Olaszország	0	1	
173	1934.01.14		Frankfurt		40000	Németország	1	3	
174	1934.03.25		Szófia		15000	Bulgária	4	1	VB-sel-1934
175	1934.04.15		Bécs		60000	Ausztria	2	5	
176	1934.04.29		Prága		35000	Csehszlovákia	2	2	
177	1934.04.29	17:00:00	Budapest	Hungária út	10000	Bulgária	4	1	VB-sel-1934
178	1934.05.10	17:30:00	Budapest	Üllői út	35000	Anglia	2	1	
179	1934.05.27		Nápoly		8000	Egyiptom	4	2	VB-1934
180	1934.05.31		Bologna		15000	Ausztria	1	2	VB-1934
181	1934.10.07	15:00:00	Budapest	Hungária út	33000	Ausztria	3	1	
182	1934.12.09		Milánó		42000	Olaszország	2	4	
183	1934.12.16		Dublin		25000	Írország	4	2	
184	1935.04.14		Zürich		30000	Svájc	2	6	
185	1935.05.12	17:00:00	Budapest	Üllői út	32000	Ausztria	6	3	
186	1935.05.19		Párizs		25000	Franciaország	0	2	
187	1935.09.22	16:00:00	Budapest	Hungária út	22000	Csehszlovákia	1	0	
188	1935.10.06		Bécs		40000	Ausztria	4	4	
189	1935.11.10	14:00:00	Budapest	Üllői út	16000	Svájc	6	1	
190	1935.11.24	14:30:00	Milánó		45000	Olaszország	2	2	
191	1936.03.15	15:30:00	Budapest	Hungária út	33000	Németország	3	2	
192	1936.04.05		Bécs		46000	Ausztria	5	3	
193	1936.05.03	16:30:00	Budapest	Hungária út	15000	Írország	3	3	
194	1936.05.31	17:30:00	Budapest	Hungária út	32000	Olaszország	1	2	
195	1936.09.27	15:30:00	Budapest	Üllői út	32000	Ausztria	5	3	
196	1936.10.04		Bukarest		35000	Románia	2	1	
197	1936.10.18		Prága		20000	Csehszlovákia	2	5	
198	1936.12.02		London		36000	Anglia	2	6	
199	1936.12.06		Dublin		30000	Írország	3	2	
200	1937.04.11		Bázel		22000	Svájc	5	1	
201	1937.04.25	15:00:00	Torino		35000	Olaszország	0	2	
202	1937.05.09	17:00:00	Budapest	Hungária út	16000	Jugoszlávia	1	1	
203	1937.05.23	17:30:00	Budapest	Üllői út	17000	Ausztria	2	2	
204	1937.09.19	15:30:00	Budapest	Hungária út	27000	Csehszlovákia	8	3	
205	1937.10.10		Bécs	Práter-stadion	46800	Ausztria	2	1	
206	1937.11.14	14:00:00	Budapest	Üllői út	10000	Svájc	2	0	
207	1938.01.09		Lisszabon		10000	Portugália	0	4	
208	1938.01.16		Luxembourg		10000	Luxemburg	6	0	
209	1938.03.20		Nürnberg		53000	Németország	1	1	
210	1938.03.25	15:30:00	Budapest	Hungária út	14000	Görögország	11	1	VB-sel-1938
211	1938.06.05		Reims		10000	Holland-India	6	0	VB-1938
212	1938.06.12		Lille		20000	Svájc	2	0	VB-1938
213	1938.06.16		Párizs		28000	Svédország	5	1	VB-1938
214	1938.06.19	15:00:00	Párizs		65000	Olaszország	2	4	VB-1938
215	1938.12.07		Glasgow		20000	Skócia	1	3	
216	1939.02.26		Rotterdam		35000	Hollandia	2	3	
